article,noun
die,Karte
der,Urlaub
die,Verantwortung
die,Wahrheit
das,Gebäude
der,Gesellschafter
das,Jahrzehnt
der,Norden/Nord
das,Ohr
die,Prüfung
die,Regelung
das,Schiff
die,Ausstellung
der,Bezug
die,Bitte
die,Hoffnung
der,Band
die,Band
das,Band
der,Bericht
die,Einstellung
das,Gericht
der,Gewinn
der,König
der,Sieg
die,Tat
der,Traum
die,Union
der,Besucher
der,Bund
der,Direktor
die,Geographie
der,Hintergrund
die,Qualität
der,Rand
die,Vergangenheit
der,Abschnitt
der,Bauer
die,Ehe
die,Ursache
der,Verlust
der,Winter
der,Zuschauer
die,Anzahl
die,Insel
das,Instrument
die,Nachricht
die,Pflanzen
die,Störung
der,Vertreter
der,Vorschlag
der,Zentimeter
der,Abstand
die,Bildung
die,Eigenschaft
die,Generation
der,Leiter
die,Leiter
der,Abschluss
das,Blatt
der,Geist
das,Interview
das,Semester
der,Stand
die,Tradition
die,Anlage
die,Behörde
die,Bühne
die,Dame
das,Element
die,Gelegenheit
der,Hof
die,Kommunikation
die,Mama
das,Museum
die,Nutzung
die,Basis
die,Ecke
der,Herbst
das,Kriterium
der,Terror
das,Verständnis
die,Zusammenarbeit
die,Ansicht
die,Auseinandersetzung
die,Bahn
die,Bürgermeister
die,Definition
das,Flugzeug
das,Foto
die,Masse
die,Nation
die,Phase
der,Stein
der,Ton
die,Veranstaltung
die,Änderung
die,Ausnahme
der,Bau
das,Hobby
der,Kaffee
der,Konflikt
die,Leitung
die,Lust
die,Mehrheit
der,Nachmittag
die,Rechnung
das,Schloss
die,Aktivität
das,Dach
das,Fest
der,Kandidat
die,Landschaft
die,Mannschaft
die,Mauer
die,Runde
der,Stern
der,Experte
die,Gestalt
der,Laden
der,Meister
die,Stellung
der,Zugang
die,Branche
die,Figur
der,Frieden
die,Industrie
der,Umgang
der,Vorgang
das,Wachstum
das,Büro
die,Darstellung
der,Fußball
die,Gewalt
die,Institution
die,Katze
der,Konzern
das,Lager
die,Lehre
das,Pferd
der,Rat
der,Schatten
die,Spitze
die,Strecke
die,Szene
die,Weltmeisterschaft
das,Blut
die,Dauer
das,Feuer
das,Gymnasium
die,Konsequenz
die,Nase
der,Stuhl
der,Süden/Süd
das,Tor
der,Verband
die,Aktie
die,Aktion
der,Anlass
die,Ausgabe
der,Ausländer
das,Bundesland
der,Club
der,Fluss
die,Führung
die,Geschwindigkeit
das,Gut
die,Medizin
der,Nachbar
die,Software
die,Stufe
das,Telefon
der,Terrorismus
der,Trainer
der,Zweifel
die,Anforderung
das,Bad
die,Belastung
der,Bus
der,Effekt
die,Messe
der,Umfang
die,Vorschrift
das,Fahrrad
die,Kommission
das,Krankenhaus
der,Mangel
der,Richter
der,Terrorist
das,Urteil
der,Anbieter
die,Decke
der,Fisch
das,Fleisch
die,Jugend
der,Schmerz
die,Schuld
die,Stimmung
die,Tasche
der,Wein
die,Welle
der,Wettbewerb
das,Wetter
die,Alternative
die,Auswirkung
das,Bedürfnis
die,Haltung
der,Leser
die,Tante
die,Temperatur
die,Waffe
die,Ware
die,Ahnung
die,Brust
die,Einführung
die,Fahrt
die,Förderung
das,Kleid
die,Koalition
die,Länge
das,Loch
der,Manager
die,Quelle
der,Regen
die,Religion
der,Spieler
die,Summe
der,Termin
der,Test
der,Tourist
der,Umsatz
das,Vertrauen
die,Verwendung
der,Vorwurf
der,Wissenschaftler
das,Bier
die,Bundesregierung
das,Konzert
die,Krise
die,Landwirtschaft
das,Leid
das,Lied
das,Merkmal
das,Parlament
die,Pause
die,Perspektive
das,Phänomen
die,Realität
die,Suche
der,Weltkrieg
der,Arbeitgeber
der,Aufbau
die,Bestimmungen
die,Botschaft
das,Brot
die,Flasche
die,Formel
der,Fortschritt
der,Geburtstag
die,Gegenwart
die,Hauptstadt
die,Mühe
die,Nachfrage
die,Pflicht
der,Studiengang
der,Teilnehmer
der,Wille
die,Debatte
die,Fremdsprache
der,Gegner
die,Hinsicht
der,Käufer
das,Kilogramm
die,Verwaltung
die,Weile
die,Adresse
der,Betrag
der,Hals
die,Heimat
der,Kauf
das,Kino
die,Konkurrenz
die,Mathematik
die,Schicht
der,Schwerpunkt
der,Streit
die,Verhandlung
der,Ablauf
der,Arbeitnehmer
das,Drittel
der/die,Erwachsene
der,Fahrer
das,Gegenteil
die,Gemeinschaft
die,Gewerkschaft
der,Handel
der,Kanzler
das,Management
der,Millimeter
der,Minister
der,Nachteil
die,Platte
der,Sitz
der,Start
die,Tabelle
der,Tourismus
der,Verdacht
der,Vogel
der,Widerstand
der/die,Beamte
die,Investition
die,Planung
der,Polizist
der,Schriftsteller
die,Stärke
die,Steuer
das,Steuer
die,Therapie
die,Überlegung
der,Verkehr
die,Verletzung
der/die,Abgeordnete
der,Anschluss
die,Armee
die,Atmosphäre
die,Auswahl
die,Beschreibung
das,Boot
die,Einnahmen
die,Erkrankung
die,Fläche
der,Flughafen
das,Gehirn
die,Gesundheit
der,Park
der,PC
die,Physik
die,Post
die,Saison
die,Stirn
die,Strategie
der,Wechsel
der,Alltag
der,Auftritt
der,Bahnhof
der,Bundeskanzler
die,Demokratie
die,Erwartung
das,Fahrzeug
die,Fotografie
der,Hersteller
das,Holz
das,Knie
die,Kombination
die,Liste
das,Niveau
der,Pfarrer
das,Schicksal
die,Schrift
der,Standort
der,Verlag
der,Zeltraum
die,Abteilung
der,Beweis
das,Detail
die,Dimension
der,Forscher
die,Integration
die,Kasse
die,Kategorie
der,Organismus
das,Radio
der,Unfall
die,Verbesserung
die,Verpflichtung
das,Abitur
der,Bedarf
die,Beratung
die,Beschäftigung
die,Betrachtung
das,Frühjahr
das,Gewicht
der,Journalist
die,Kompetenz
das,Lebensmittel
der,Mittelpunkt
der,Spiegel
der,Strand
die,Treppe
das,Vermögen
das,Wesen
die,Arbeitslosigkeit
die,Beobachtung
der,Bestandteil
die,Beteiligung
die,Bewertung
die,Bezeichnung
die,Brücke
die,CD
der,Gebrauch
der,Geschäftsführer
die,Lippe
der,Ministerpräsident
der,Nutzen
der,Ruf
das,Signal
der,Standard
der,Start
die,Substanz
die,Taste
das,Teilchen
die,Versicherung
die,Vorbereitung
der,Vordergrund
der,Anwalt
das,Experiment
der,Glauben
der,Grundsatz
die,Komponente
die,Oberfläche
das,Reich
das,Rennen
der,Schlag
der,Schuh
das,Seminar
die,Sendung
die,Spannung
die,Technologie
die,Truppe
das,Umfeld
der,Verbraucher
der,Verkauf
das,Viertel
das,Vorjahr
die,Bilanz
das,Erlebnis
das,Grundstück
die,Identität
die,Kamera
der,Kanal
die,Karriere
der,Kredit
das,Quartal
das,Rad
der,Rechner
der,Schlaf
der,Sender
das,Tal
die,Tiefe
das,TV
der,Verlauf
die,Zigarette
der,Aktionär
der,Atem
die,Auffassung
der,Bewohner
der,Charakter
das,Einkommen
die,Erziehung
die,Geburt
die,Halle
die,Herausforderung
die,Informationstechnologie
der,Mittag
die,Niederlage
die,Norm
die,Reform
das,Restaurant
der,Schauspieler
der,Schnee
die,Schülerin
der,Service
die,Sitzung
der,Sturm
die,Träne
die,Trauer
der,Vorstand
der,Zufall
die,Zustimmung
der/die,Angehörige
die,Annahme
das,Argument
das,Arzneimittel
der,Außenminister
der,Benutzer
der,Bescheid
die,Blume
die,Bundeswehr
die,Disziplin
die,Existenz
die,Fraktion
das,Grundgesetz
der,Händler
der,Hinblick
das,Individuum
die,Katastrophe
das,Motiv
der,Musiker
die,Opposition
der,Papa
das,Personal
der,Sand
die,Station
die,Tendenz
das,Training
die,Umsetzung
der,Verkäufer
die,Versorgung
der,Wandel
das,Wunder
die,Angelegenheit
die,Auskunft
das,Ausmaß
die,Begründung
das,Engagement
die,Entfernung
der,Fleck
die,Handlung
das,Immunsystem
der,Koffer
die,Not
die,Persönlichkeit
der,Schlüssel
der,Schreibtisch
die,Seele
der,Unternehmer
die,Unternehmung
die,Vereinbarung
das,Video
die,Wahrnehmung
der/die,Angestellte
die,Äußerung
die,Begegnung
das,Café
die,Datei
die,Dienstleistung
die,Erzählung
die,Ferne
das,Gedicht
die,Gründung
der,Keller
das,Konto
die,Operation
die,Qualifikation
die,Sammlung
die,Tonne
der,Träger
der,Trend
die,Variante
der/die,Verwandte
die,Vielfalt
die,Vielzahl
die,Zahlung
der,Arbeiter
der,Aufwand
die,Aufwendungen
der,Bauch
die,Berechnung
der,Bestandteil
das,Entwicklungsland
der,Entwurf
die,Fachhochschule
der,Fernseher
die,Finanzierung
die,Hose
der,Impuls
das,Kapital
der,Kern
der,Motor
der,Rang
der,Regisseur
die,Republik
das,Salz
der,Stil
die,Vermittlung
der,Wahlkampf
die,Wolke
der,Zahn
die,Anstrengung
die,Behinderung
die,Berücksichtigung
der,Bord
der,Dichter
der,Eingriff
der,Einwohner
der,Fan
die,Hütte
die,Kooperation
die,Stasi
das,Symbol
der,Täter
die,Tour
die,Trennung
die,Übertragung
die,Verfassung
die,Zeitschrift
die,Absicht
der,Architekt
die,Aufmerksamkeit
der,Beschluss
die,Bibel
die,Bindung
die,Börse
das,Business
der,Ehegatte
die,Einschätzung
das,Elektron
die,Entstehung
die,Erweiterung
der,Feind
die,Flucht
der,Flüchtling
das,Geschlecht
das,Gewissen
der,Gläubiger
der,Griff
der,Halt
das,Hemd
die,Infektion
der,Kindergarten
das,Klima
der,Kontinent
die,Kündigung
der,Mantel
das,Marketing
der,Mister
der,Mut
die,Nebenwirkung
die,Oper
das,Orchester
das,Paket
die,Ressource
die,Revolution
die,Richtlinie
die,Rückkehr
die,Scheibe
die,Stille
der,Stress
die,These
der,Transport
der,Übergang
das,Vorbild
das,Vorgehen
der,Widerspruch
die,Wüste
der,Alkohol
die,Anerkennung
der,Aufenthalt
die,Aussicht
der,Ball
die,Bemerkung
der,Besitz
die,Chemie
die,Distanz
das,Ei
die,Frist
das,Geschenk
die,Gestaltung
das,Heim
der,Höhepunkt
der,Horizont
die,Konferenz
das,Kreuz
die,Notwendigkeit
das,Organ
die,Presse
die,Rechtsprechung
das,Regal
der,Ring
die,Übung
der,Vortrag
die,Zeile
die,Ausführung
der,Besitzer
das,Center
der,Eingang
die,Erscheinung
die,Ferien
der,Flug
die,Fragestellung
die,Freundschaft
das,Frühstück
das,Gehalt
der,Gehalt
das,Geheimnis
das,Geräusch
der,Geschmack
das,Gold
der,Hafen
der,Hut
die,Hut
die,Interpretation
die,Klage
die,Klinik
die,Lehrerin
die,Marke
das,Medikament
die,Miete
das,Öl
der,Pass
die,Phantasie
die,Prognose
das,Protein
das,Protokoll
der,Schreck
die,Serie
der,Tee
der,Turm
die,Überzeugung
die,Vorgabe
das/die,Weihnachten
die,Wende
die,Abhängigkeit
der,Arbeitsmarkt
der,Ärger
der,Austausch
die,Betreuung
die,Bombe
der,Dialog
die/das,E-Mail
die,Entschuldigung
die,Erhöhung
das,Gas
das,Gen
die,Hitze
die,Kindheit
das,Klavier
die,Konzentration
der,Leib
der,Maler
die,Menschheit
die,Milch
der,Mord
der,Pilot
das,Resultat
der,Riese
der,Stock
die,Strafe
der,Übersetzer
das,Ufer
die,Umfrage
das,Baby
das,City
die,Differenz
die,Dunkelheit
das,Dutzend
das,Eis
der,Empfang
der,Empfänger
die,Ernährung
der,Gesichtspunkt
die,Großmutter
die,Herkunft
die,Hochzeit
der,Hunger
die,Konjunktur
der,Konkurrent
die,Last
das,Lebensjahr
das,Medium
die,Mischung
das,Muster
der,Nachfolger
die,Note
der,Onkel
das,Potenzial
der,Protest
der,Reiz
der,Rohstoff
der,Sachverhalt
der,Schuss
die,Sicherung
der,Sieger
die,Statistik
die,Strahlung
das,Taxi
das,Turnier
die,Übernahme
die,Verarbeitung
die,Veröffentlichung
die,Verteilung
die,Wiedervereinigung
der,Witz
der,Abschied
die,Benutzung
die,Beurteilung
der,Bewerber
das,Defizit
die,Einschränkung
die,Ermittlung
der,Ertrag
der,Flur
das,Format
der,Held
die,Herstellung
der,Kaiser
die,Kammer
die,Kette
die,Kleidung
die,Kneipe
der,Kritiker
die,Küste
das,Messer
die,Messung
das,Motto
der,Nutzer
der,Passagier
die,Premiere
die,Probe
der,Quadratmeter
der,Saal
die,Schwäche
der,Sektor
der,Sprung
das,Symptom
das,Tennis
das,Top
das,Tuch
die,Überraschung
die,Übersetzung
die,Verbreitung
das,Virus
das,Vorhaben
die,Vorlage
die,Wärme
die,Werbung
die,Wiese
das,Zelt
der,Anhänger
die,Anzeige
die,Aufklärung
die,Auflösung
die,Bestellung
der,Bude
das,Bündnis
die,Burg
der,Dialekt
die,Durchführung
die,Einigung
die,Einsicht
das,Gedächtnis
das,Gefängnis
die,Gleichung
die,Herrschaft
die,Infrastruktur
der,Katalog
die,Meldung
die,Mission
die,Mitteilung
die,Nahrung
der,Nebel
der,Offizier
die,Oma
die,Philosophie
die,Realisierung
der,Schein
der,Schnitt
die,Schnittstelle
die,Schulden
die,Sehnsucht
der,Skandal
das,Stadion
der,Tipp
das,Wiedersehen
die,Wunde
die,Wurzel
die,Zeuge
das,Zeugnis
der,Anblick
das,Anliegen
die,Anpassung
der,Anstieg
das,Arbeitsamt
der,Befehl
die,Bereitschaft
die,Beschwerde
der,Bogen
die,Bundesliga
die,Droge
die,Ehre
das,Eigentum
der,Einzelfall
die,Epoche
der,Erreger
die,Feststellung
die,Formulierung
das,Gelände
der/die,Geliebte
die,Geschwister
das,Gramm
die,Inszenierung
der,Kapitän
die,Kiste
der,Knochen
der,Kontext
das,Kunstwerk
das,Lebewesen
der,Lastkraftwagen
der,Lohn
der,Magen
die,Mode
der,Mörder
die,Öffnung
die,Partie
das,Rathaus
die,Reflexion
die,Rente
die,Show
die,Stiftung
der,Teller
die,Unterscheidung
die,Version
der,Wähler
die,Wechselwirkung
der,Zettel
der,Zins
die,Zone
der,Abbau
die,Agentur
die,Akademie
die,Anfrage
die,Aufführung
die,Auflage
der,Ausbau
der,Bär
das,Bedenken
der,Buchstabe
das,Dokument
die,Einzelheit
die,Erfüllung
der,Führer
die,Fusion
der,Geruch
das,Gleichgewicht
der,Investor
der,Kerl
die,Kollegin
der,Komponist
die,Kurve
das,Labor
der,Landkreis
das,Märchen
das,Mittelalter
das,Möbel
die,Moderne
der,Nerv
der,Ofen
die,Pflege
die,Plattform
der,Posten
der,Profi
das,Regime
der,Rock
der,Rücktritt
der,Schrank
die,Sekretärin
die,Solidarität
der,Sportler
die,Stabilität
der,Status
der,Staub
der,Tanz
der,Topf
der,Überblick
die,Unsicherheit
der,Vorhang
der,Winkel
das,Zitat
das,Abenteuer
die,Abgrenzung
der,Akt
der,Akteur
die,Allianz
die,Armut
der,Ausgleich
die,Begeisterung
der,Bezirk
die,Diagnose
das,Dunkel
der,Durchmesser
die,Einladung
die,Empfehlung
die,Eröffnung
der,Felsen
die,Flüssigkeit
das,Fräulein
der,Friedhof
die,Front
die,Fülle
das,Gebirge
das,Geschäftsjahr
das,Gras
die,Großstadt
der,Hang
der,Hügel
der,Ingenieur
der,Kongress
der,Muskel
der,Nachweis
die,Orientierung
der,Personenkraftwagen
der,Rhythmus
die,Rücksicht
der,Senat
die,Steuerung
der,Stolz
die,Teilnahme
das,Universum
die,Unterhaltung
die,Unterlagen
die,Vereinigung
die,Vertretung
die,Volkshochschule
die,Vorsicht
die,Wahrscheinlichkeit
die,Wange
das,Werkzeug
die,Zeichnung
die,Zunahme
die,Zwiebel
die,Ablehnung
die,Abstimmung
die,Anordnung
die,Anregung
der,Aufsatz
der,Backofen
die,Bakterie
der,Befund
die,Bemühung
der,Beobachter
der,Berater
der,Betrachter
das,Betriebssystem
der,Bildschirm
die,Blüte
die,Brille
die,Datenverarbeitung
der,Eigentümer
die,Eintragung
das,Ensemble
die,Enttäuschung
die,Faust
das,Festival
die,Galerie
das,Gemüse
die,Genehmigung
der,Großvater
die,Grundschule
der,Hass
die,Höhle
die,Innenstadt
das,Kloster
die,Kohle
der,Konsument
der,Lärm
der,Liter
das,Lokal
die,Malerei
der,Maßstab
die,Materie
die,Münze
das,Netzwerk
das,Praktikum
der,Rückgang
der,Sack
der,Schuldner
die,Sportart
der,Stamm
der,Streifen
die,Tasse
der,Teppich
der,Teufel
die,Überprüfung
der,Unsinn
das,Verbot
die,Vermutung
die,Versammlung
die,Wäsche
die,Werkstatt
die,Wirtschaftspolitik
das,Zeug
die,Zunge
der,Zwang
das,Antibiotikum
die,Anweisung
der,Anzug
die,Architektur
das,Atom
der,Aufstieg
der,Ausflug
der,Ausgang
die,Ausstattung
die,Bearbeitung
die,Besonderheit
der,Betracht
die,Biologie
die,Breite
die,Butter
der,Champion
die,Differenzierung
der,Dirigent
die,Entdeckung
die,Erfindung
der,Ersatz
die,Feuerwehr
das,Fieber
die,Fluggesellschaft
die,Gebühr
das,Gepäck
das,Gerücht
der,Gesetzgeber
die,Gliederung
das,Grab
der,Grenzwert
das,Handwerk
das,Heft
der,Helfer
die,Intelligenz
der,Jäger
die,Kartoffel
der,Käse
der,Klang
der,Kompromiss
die,Königin
die,Konstruktion
der,Kreislauf
die,Kugel
die,Kuh
die,Leiche
die,Leidenschaft
die,Leistungsfähigkeit
die,Lieferung
die,Liga
das,Milligramm
der,Nachwuchs
der,Nacken
das,Olympia
der,Parteitag
die,Party
der,Planet
der,Priester
die,Problematik
die,Rezession
der,Salon
die,Schauspielerin
die,Schwangerschaft
der,Schweiß
die,Skala
die,Spalte
das,Spektrum
die,Steckdose
die,Tafel
das,Tagebuch
das,Talent
das,Tempo
die,Unruhe
die,Unterschrift
der,Ursprung
das,Verbrechen
das,Vergnügen
die,Verhaltensweise
der,Vermieter
die,Vernunft
die,Verordnung
die,Villa
der,Vormittag
das,Wohnzimmer
die,Zerstörung
der,Zinssatz
die,Zulassung
die,Zusammensetzung
die,Abschreibung
die,Achse
die,Anwesenheit
die,Aufregung
die,Autobahn
die,Batterie
das,Chaos
die,Chefin
der,Chip
der,Chor
das,Design
der,Dolmetscher
der,Durchschnitt
das,Ehepaar
der,Einbruch
der,Eintritt
die,Erholung
der,Europäer
die,Fabrik
die,Furcht
die,Geduld
der,General
das,Getränk
das,Gewehr
das,Glied
der,Graf
das,Gremium
die,Gunst
das,Gutachten
der,Handwerker
die,Haustür
die,Hypothese
die,Kassette
der,Kasten
der,Kommentar
die,Konzeption
die,Kreativität
das,Magazin
der,Marktanteil
die,Maus
das,Menschenrecht
der,Mieter
das,Militär
die,Minderheit
das,Ministerium
der,Mythos
die,Naturwissenschaft
der,Parkplatz
die,Partnerschaft
die,Periode
das,Präparat
die,Provinz
die,Rahmenbedingung
der,Regierungschef
die,Säule
die,Scheidung
die,Schönheit
der,Spezialist
die,Steigerung
der,Stellvertreter
die,Subvention
das,Ticket
der,Tunnel
die,Übersicht
die,Uniform
das,Unrecht
das,Vitamin
die,Volkswirtschaft
die,Vorlesung
die,Weiterbildung
die,Zielsetzung
der,Zucker
das,Abkommen
der,Absolvent
die,Abwehr
der,Apfel
die,Arbeitskraft
der,Assistent
die,Auswertung
die,Bar
die,Bedrohung
die,Bekämpfung
die,Beschränkung
der,Block
das,Darlehen
das,Datum
die,Erhaltung
der,Erzähler
der,Fachbereich
die,Fachleute
die,Fakten
die,Fassung
der,Flügel
das,Forum
die,Frequenz
die,Frucht
die,Gerechtigkeit
der,Gipfel
der,Großteil
der,Hörer
das,Industrieland
die,Jacke
die,Jagd
die,Jahreszeit
die,Lampe
die,Linse
die,Lücke
das,Metall
der,Missbrauch
die,Motivation
die,Option
der,Ordner
der,Ozean
der,Physiker
die,Pistole
die,Reichweite
die,Reparatur
der,Respekt
die,Rose
der,Rucksack
der,Sänger
die,Tablette
die,Tageszeitung
der,Therapeut
der,Umzug
der,Veranstalter
die,Verknüpfung
das,Vorfeld
der,Vorgänger
die,Währung
der,Weltmeister
die,Wut
die,Zuordnung
der,Zuwachs
der,Abfall
die,Akte
die,Anleihe
die,Arbeitszeit
der,Aufsichtsrat
der,Ausgangspunkt
die,Ausrichtung
der,Ausweis
die,Beachtung
das,Diplom
der,Einblick
der,Engel
die,Erfassung
die,Fahne
die,Fakultät
die,Fassade
die,Feier
der,Frühling
der,Gemeinderat
das,Gewebe
der,Gruß
der,Jurist
die,Kerze
der,Koch
die,Kommune
die,Koralle
die,Krankenkasse
der,Kunststoff
die,Landesregierung
die,Laune
das,Nahrungsmittel
der,Philosoph
der,Prinz
das,Profil
die,Relation
das,Riff
die,Schlange
das,Schwein
die,Selbstständigkeit
die,Siedlung
der,Spruch
die,Stellungnahme
der,Strahl
die,Strömung
die,Verbindlichkeit
das,Volumen
der,Zugriff
der,Zuhörer
